iso3,year,deaths,gdp_pc,vehicles_pc,pop_total,death_rate,log_pop
ALB,1987,0,1748.57872030222,NA,3083605,0,14.941609925047315
ALB,1988,0,1691.53094901661,NA,3142336,0,14.960477030336104
ALB,1989,0,1808.64607818532,NA,3227943,0,14.987355650223508
ALB,1992,0,1086.4387714304,NA,3247039,0,14.993254062100007
ALB,1993,3,1197.58090750054,NA,3227287,0.09295733537178441,14.987152404172706
ALB,1994,6,1305.00106057165,NA,3207536,0.1870594749365245,14.98101359910341
ALB,1995,11,1488.02088119627,NA,3187784,0.3450672943963581,14.97483656251904
ALB,1996,8,1633.55200001885,NA,3168033,0.2525226220812725,14.968621448528866
ALB,1997,14,1464.29796254199,NA,3148281,0.44468711655662246,14.962367147559867
ALB,1998,8,1603.64765027651,NA,3128530,0.2557111486864438,14.956073803634608
ALB,1999,17,1821.87313102694,NA,3108778,0.5468386613646906,14.949740280894735
ALB,2000,4,1960.88245974115,NA,3089027,0.12949061306359574,14.9433667125553
ALB,2001,0,2143.52683947815,NA,3060173,0,14.93398200827818
ALB,2002,0,2247.49808010881,NA,3051010,0,14.930983241307333
ALB,2003,0,2380.64462078713,NA,3039616,0,14.927241749614419
ALB,2004,0,2522.44937446209,NA,3026939,0,14.92306243583516
ALB,2005,0,2675.50863709675,NA,3011487,0,14.91794453467094
ALB,2006,0,2851.36775919961,NA,2992547,0,14.911635422222425
ALB,2007,0,3044.89661682055,NA,2970017,0,14.904078234668225
ALB,2008,0,3298.47890843532,NA,2947314,0,14.896404805076802
ALB,2009,0,3432.1708719722,NA,2927519,0,14.889665864612283
ALB,2010,0,3577.11432498868,NA,2913021,0,14.884701244978409
ARE,2018,0,42679.751908331,NA,9346701,0,16.05053400477963
ARE,2019,0,42700.1297920702,NA,9445785,0,16.061079168222147
ARE,2020,0,40776.6308681689,NA,9401038,0,16.0563306666757
ARG,1966,9,8041.22487411475,NA,22453893,0.040082136313734106,16.926974564691566
ARG,1967,0,8172.27456469042,NA,22799059,0,16.942229821143137
ARG,1968,42,8436.30856351031,NA,23150583,0.18142091713197894,16.957530521764728
ARG,1969,73,9111.9459748551,NA,23508711,0.31052319287093194,16.972881591280277
ARG,1970,90,9244.12251785153,NA,23878327,0.37691082796546005,16.98848178540799
ARG,1977,90,10088.3374871635,NA,26701805,0.33705586569896684,17.10024172408175
ARG,1978,81,9480.94009490414,NA,27132158,0.2985387303140428,17.116230224413137
ARG,1979,80,10284.6064087552,NA,27568895,0.2901821055940037,17.132198702399883
ARG,1980,42,10275.7987023886,NA,28011596,0.14993790428792417,17.14812912526314
ARG,1981,43,9587.67379423426,NA,28463959,0.15106823334027428,17.164149248470753
ARG,1982,71,9365.68465387847,NA,28924262,0.24546866571738288,17.1801913164575
ARG,1983,76,9617.7000569575,NA,29391332,0.2585796383777367,17.196210358906047
ARG,1984,24,9614.44726215357,NA,29863093,0.08036675906276687,17.21213392810008
ARG,1985,51,8973.31874865813,NA,30336441,0.16811464469414855,17.227860221114767
ARG,1986,40,9378.46866394349,NA,30811980,0.12981963508998773,17.243414133357028
ARG,1987,38,9484.45876638052,NA,31291762,0.12143771258390627,17.25886542598035
ARG,1988,41,9236.80771302535,NA,31780532,0.12900979757041198,17.274364459020838
ARG,1989,24,8445.4100923428,NA,32270948,0.07437029739566374,17.289677940727106
ARG,1990,37,8115.09386370753,NA,32755901,0.11295674632793645,17.3045936870206
ARG,1991,52,8729.82318518892,NA,33230294,0.15648371934356042,17.318972487718664
ARG,1992,48,9293.18692251748,NA,33693527,0.142460597847177,17.332816299722076
ARG,1993,152,9920.67358582437,NA,34152717,0.44505975908153955,17.34635270157763
ARG,1994,42,10359.8927204871,NA,34613491,0.12133997116904505,17.359754077326315
ARG,1995,49,9934.10776139515,NA,35070020,0.13972047920132352,17.372857192404194
ARG,1996,48,10352.1400002191,NA,35513793,0.1351587536707217,17.385431714196653
ARG,1997,38,11056.6881331002,NA,35947791,0.10570885982952333,17.39757819379001
ARG,1998,32,11348.2022124673,NA,36372860,0.08797768446033663,17.409333450110164
